country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Finland,FI,FIN,246,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,26.6,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
France,FR,FRA,250,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,29.7,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
France,FR,FRA,250,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,25,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
France,FR,FRA,250,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2024,27,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
French Guiana,GF,GUF,254,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,63.2,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
French Guiana,GF,GUF,254,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,68.4,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
French Guiana,GF,GUF,254,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2016,65.5,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Gabon,GA,GAB,266,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2010,37.9,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Gabon,GA,GAB,266,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2010,27,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Gabon,GA,GAB,266,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2010,32.1,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Gambia,GM,GMB,270,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,5.4,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Gambia,GM,GMB,270,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,7.2,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Gambia,GM,GMB,270,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2023,6.3,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Georgia,GE,GEO,268,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,32,Female,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Georgia,GE,GEO,268,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,31.1,Male,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
Georgia,GE,GEO,268,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed,2020,31.4,Total,,%,Reanalysed,Free,End of fieldwork,15 to 19 years old
